month_start,total_mrr,active_accounts,churned_accounts,churned_mrr,mom_mrr_growth_pct,monthly_logo_churn_pct
2023-01-01,4684,2,0,0,,
2023-02-01,15763,9,0,0,236.53,0.00
2023-03-01,41648,19,3,4470,164.21,33.33
2023-04-01,83436,34,1,4577,100.34,5.26
2023-05-01,169110,46,3,6132,102.68,8.82
2023-06-01,244097,64,4,17925,44.34,8.70
2023-07-01,363343,79,2,11748,48.85,3.13
2023-08-01,528736,104,6,21834,45.52,7.59
2023-09-01,644272,119,5,40229,21.85,4.81
2023-10-01,826790,137,9,38067,28.33,7.56
2023-11-01,1038507,160,9,28072,25.61,6.57
2023-12-01,1282212,185,11,83718,23.47,6.88
2024-01-01,1539046,207,17,108362,20.03,9.19
2024-02-01,1888127,225,10,95733,22.68,4.83
2024-03-01,2295694,250,19,148445,21.59,8.44
2024-04-01,2722124,274,20,125342,18.58,8.00
2024-05-01,3339785,302,24,210243,22.69,8.76
2024-06-01,3854007,333,37,331677,15.40,12.25
2024-07-01,4541221,360,33,325290,17.83,9.91
2024-08-01,5161618,384,40,556894,13.66,11.11
2024-09-01,6113247,415,48,599049,18.44,12.50
2024-10-01,7208953,437,60,844310,17.92,14.46
2024-11-01,8647936,474,60,861945,19.96,13.73
2024-12-01,10734251,500,96,2124780,24.13,20.25
2025-01-01,10159608,500,0,0,-5.35,0.00
2025-02-01,10159608,500,0,0,0.00,0.00
2025-03-01,10159608,500,0,0,0.00,0.00
2025-04-01,10159608,500,0,0,0.00,0.00
2025-05-01,10159608,500,0,0,0.00,0.00
2025-06-01,10159608,500,0,0,0.00,0.00
2025-07-01,10159608,500,0,0,0.00,0.00
2025-08-01,10159608,500,0,0,0.00,0.00
2025-09-01,10159608,500,0,0,0.00,0.00
2025-10-01,10159608,500,0,0,0.00,0.00
2025-11-01,10159608,500,0,0,0.00,0.00
2025-12-01,10159608,500,0,0,0.00,0.00
2026-01-01,10159608,500,0,0,0.00,0.00
2026-02-01,10159608,500,0,0,0.00,0.00
